title,urls,tags,description,renowned
Blaze TV,[https://www.instagram.com/reel/C4MBecWvVMU/],,Alternative news media,no
Candice Owens,[https://www.instagram.com/realcandaceowens],,Alternative media fact checker.,no
Daily Wire,[https://www.dailywire.com/|https://www.instagram.com/realdailywire/|https://twitter.com/realDailyWire|https://www.youtube.com/channel/UCaeO5vkdj5xOQHp4UmIN6dw|https://www.facebook.com/DailyWire|https://www.dailywire.com/rss.xml],,,no
GB News,[https://www.instagram.com/gbnews],,People news network,yes
Gizmodo,[https://www.gizmodo.com],,Geek technology news site,yes
Library Minset,[https://www.instagram.com/librarymindset],,Alternative news,no
Megyn Kelly,[https://linktr.ee/megynkelly],,Podcaster for freedom of speech,no
Mic Stages UK Online,[https://www.instagram.com/micstagesukonline],,Alternative “polemical” news,no
Michael Shellenberger,[https://www.public.news/|https://www.instagram.com/shellenberger],,Independent news,no
Nick J. Freitas,[https://www.instagram.com/nickjfreitas],,Alternative News,no
One World One People,[https://www.instagram.com/oneworld_one_people],,"Facts, facts and more facts…",no
Project Veritas,[https://www.projectveritas.com/|https://www.instagram.com/project_veritas|https://twitter.com/Project_Veritas/|https://www.youtube.com/veritasvisuals],,Journalism exposing corruption,no
Real Daily Wire,[https://instagram.com/realdailywire],,Quick daily news from alternative media,yes
Russel Brand,[https://www.russellbrand.com/],,,no
Sean Mike Kelly,[https://www.instagram.com/seanmikekelly],,Podcasts about anything and everything,no
The Typical Liberal,[https://www.instagram.com/the_typical_liberal],,,no
Trish Regan,[https://linktr.ee/trishregan],,American Podcaster for freedom of speech,no
UI Media Network,[https://www.uimedianetwork.com|https://www.instagram.com/uimedianetwork],,,no
