title,urls,tags,description,renowned
Erwin McManus,[https://www.instagram.com/erwinmcmanus],,"Serial creator, Mindset expert",no
Jim Kwik,[https://www.instagram.com/jimkwik],,Mindset and self-discipline,yes
Library Mindset,[https://www.instagram.com/librarymindset],,"Self-empowering citations, quotes and writings",no
Library Mindset,[https://www.instagram.com/librarymindset],,Books and citations,no
Lisa Bilyeu,[https://instagram.com/lisabilyeu],,,no
Mel Robbins,[https://instagram.com/melrobbins],,,yes
Mindset Therapy,[https://instagram.com/mindset.therapy],,,no
Proctor Gallagher,[https://instagram.com/proctorgallagher],,,yes
The Dan Koe,[https://instagram.com/thedankoe],,,yes
Tom Bilyeu,[https://instagram.com/tombilyeu],,,no
