title,urls,tags,description,renowned
Biology Science,[https://instagram.com/biologyscience],,,no
Entrelligence,[https://www.instagram.com/entrelligence],,,no
Entrelligence,[https://www.instagram.com/entrelligence/],,Interesting stuff,no
Facts and Science,[https://instagram.com/facts_and_science],,,no
Interesting Engineering,[https://interestingengineering.com/|https://www.instagram.com/interestingengineering],,Science and Engineering,no
May The Science Be With You,[https://www.instagram.com/maythesciencebewithyou],,Videos about science,no
Physics is Fun,[https://www.instagram.com/physicsisfun_official],,Physics science videos,no
Plasma Channel,[https://www.instagram.com/jay.bowles.plasma|https://www.youtube.com/PlasmaChannel],,Interesting science videos around plasma,no
The Debrief,[https://thedebrief.org/|http://www.instagram.com/thedebriefmedia|http://www.twitter.com/Debriefmedia|http://www.youtube.com/channel/UCM32gjHqMnYl_MOHZetC8Eg],,EXPLORING FRONTIER SCIENCE AND INNOVATIVE TECHNOLOGY,no
Views Addict,[https://www.instagram.com/viewsaddict],,Miscellaneous interesting videos,no
Views Addict,[https://instagram.com/viewsaddict],,Short interesting videos about science.,no
Weather Spark,[https://weatherspark.com/],,"Climate reports with the weather by Year, Month, Day, even Hour.",no
